Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,17.4522,19.3071,24.1723,28.1556,30.3041,30.4736,28.1482,26.8874,26.8976,25.9666,21.7871,18.4904
1902,18.6933,20.4414,25.4255,28.219,30.5624,29.9625,27.8494,27.5445,26.4375,24.857,21.098,18.034
1903,17.9156,19.4795,23.3988,27.7007,29.8527,30.2014,28.3421,26.8319,26.7067,25.0338,20.7062,17.6026
1904,17.5911,19.626,23.7609,28.4068,29.7381,29.132,27.1008,26.8433,26.5367,25.0456,20.9079,18.2641
1905,16.8916,16.7712,22.3645,26.106,30.3881,30.5667,27.8732,27.3619,26.8357,25.6984,22.0787,18.0923
1906,17.2543,19.0116,22.803,28.1893,31.2179,29.3157,27.6981,26.8974,26.4691,25.1671,21.9436,18.8753
1907,18.7679,19.3758,22.6991,26.6565,29.3138,29.3196,28.2103,26.4577,26.8002,25.6019,22.0875,17.7336
1908,17.5648,19.8256,23.64,28.8839,30.1582,30.1638,27.1648,26.4507,26.4139,24.9371,20.8421,17.3784
1909,17.8704,19.5678,24.6176,26.7513,29.9012,28.6669,26.8164,26.5611,26.386,25.0052,21.9905,18.3561
1910,17.6798,19.915,24.078,27.8245,30.2019,28.8063,27.1371,26.679,26.4477,24.5262,20.4193,17.6271
1911,18.6432,19.4183,22.8,27.6187,30.6988,28.9883,28.2727,27.044,26.5903,25.3325,21.2697,18.1949
1912,18.328,20.9303,23.8046,27.589,30.3996,30.5203,27.6388,26.7365,26.3416,25.0109,20.7911,17.7583
1913,17.6623,19.9946,22.7306,28.4666,29.4502,28.5217,27.3224,26.9078,26.8082,25.2253,20.9659,18.063
1914,18.5194,19.973,23.4347,26.9937,30.0919,29.486,27.3685,26.6946,26.6229,24.5231,21.8419,18.1898
1915,17.8688,19.1993,23.539,27.7024,30.8752,30.1737,28.3156,27.4196,27.2602,26.0155,22.3327,18.0642
1916,18.0529,19.5879,25.2604,28.3684,30.2869,28.4498,27.5364,26.7568,26.492,24.9248,20.89,17.4354
1917,17.7945,19.7026,23.1893,26.4757,27.5312,28.3305,27.2398,26.7502,25.9456,24.2989,20.4403,17.8821
1918,16.7965,19.8437,23.697,26.7093,30.0357,28.4043,28.3801,27.1282,26.7691,25.3762,21.8393,17.8696
1919,18.4557,19.5137,24.2541,27.5069,29.8724,29.4322,27.4664,26.9187,26.3679,24.8472,21.6162,17.9515
1920,18.0942,19.524,23.9962,27.3973,28.736,29.3006,27.4885,26.8264,27.106,25.8245,22.0616,18.5147
1921,18.3777,20.4576,25.4406,28.8368,31.9202,29.542,27.9863,26.6619,26.1865,24.3468,20.7723,18.7874
1922,17.7533,20.586,24.7226,28.5094,30.8974,29.1028,27.4371,26.8481,26.3284,24.5217,21.1952,17.6644
1923,17.8695,19.3084,24.0846,28.2247,30.0907,30.9028,27.4433,26.6879,26.4892,24.5167,21.2725,18.6471
1924,17.8619,20.2333,25.3586,28.7474,29.551,30.5674,27.856,27.0765,26.0672,24.8861,20.8549,18.3651
1925,16.8085,18.8989,24.3732,28.8108,29.4945,28.6411,26.954,26.9972,26.9875,25.4092,21.3817,18.0312
1926,18.2985,21.0072,23.5324,26.2652,29.3258,31.0748,28.0639,26.9856,26.3562,24.9593,20.342,18.1555
1927,17.7329,19.3385,23.3214,27.7688,29.7503,29.6287,27.3887,26.6784,26.6683,25.1929,20.7638,18.7871
1928,18.0446,20.2123,24.2591,27.96,30.7884,29.3549,27.4622,27.1866,26.8172,25.437,21.718,18.1962
1929,17.782,19.1017,25.0315,27.9626,30.7783,29.3992,27.4788,26.6668,26.9732,24.7565,21.6345,17.8189
1930,17.4587,19.1224,24.3007,27.4186,30.0004,29.2324,27.2512,26.8314,26.8645,25.3094,20.9996,18.4838
1931,18.9016,19.6856,23.9406,28.9244,30.4225,30.5196,27.5854,27.3843,26.5985,25.101,21.37,18.5733
1932,18.6261,19.2153,24.2026,27.9235,29.932,30.0907,27.6373,26.8759,26.9269,25.4857,21.5818,18.3798
1933,17.2991,20.4608,24.1262,26.8945,28.6881,28.8693,27.5462,26.4922,26.2825,24.8639,21.4356,18.4627
1934,17.024,20.4242,23.677,28.1213,30.1796,29.3889,27.4846,26.7489,26.8125,24.6953,20.8053,18.4593
1935,16.9154,20.1905,24.0707,26.3946,30.8601,30.1627,27.3506,26.54,26.2151,24.9368,21.4298,18.5377
1936,17.6167,19.8445,23.8477,27.71,30.7442,28.2825,27.3529,26.9303,26.7208,25.1105,21.8082,18.4343
1937,17.1879,20.2391,23.3092,27.0284,30.1437,30.057,27.2851,27.1257,26.7532,24.5117,21.356,17.5096
1938,18.2365,18.9473,25.1008,28.6158,30.5535,27.9949,27.2672,26.9941,26.8538,25.1392,20.5098,18.2544
1939,18.4403,20.2842,22.8492,27.4544,30.7253,29.3854,27.4285,27.274,26.6942,25.4203,21.2164,18.4224
1940,17.6631,19.9311,22.6795,27.4565,30.2367,29.6733,27.5788,26.736,26.6413,25.3282,22.0795,18.4179
1941,17.9168,20.4535,25.3889,29.3468,30.8174,29.5695,28.0078,27.5247,27.0131,26.0974,21.6306,19.3663
1942,17.6542,20.363,24.8086,28.5491,30.8915,30.4782,27.3458,26.6118,26.2634,25.074,21.7418,18.0608
