2024-10-01T09:00, user190, view
2024-10-01T09:03, user143, click
2024-10-01T09:04, user153, logout
2024-10-01T09:09, user138, login
2024-10-01T09:11, user143, logout
2024-10-01T09:16, user123, logout
2024-10-01T09:17, user140, view
2024-10-01T09:21, user200, login
2024-10-01T09:25, user133, view
2024-10-01T09:26, user165, click
2024-10-01T09:28, user120, view
2024-10-01T09:31, user162, view
2024-10-01T09:36, user160, logout
2024-10-01T09:39, user152, logout
2024-10-01T09:40, user164, view
2024-10-01T09:42, user191, view
2024-10-01T09:47, user141, click
2024-10-01T09:50, user151, view
2024-10-01T09:54, user177, click
2024-10-01T09:55, user131, login
2024-10-01T10:00, user105, click
2024-10-01T10:04, user113, logout
2024-10-01T10:08, user193, logout
2024-10-01T10:10, user182, view
2024-10-01T10:12, user153, login
2024-10-01T10:16, user109, view
2024-10-01T10:21, user176, logout
2024-10-01T10:23, user139, logout
2024-10-01T10:25, user182, view
2024-10-01T10:27, user176, logout
2024-10-01T10:30, user147, view
2024-10-01T10:31, user140, view
2024-10-01T10:36, user140, logout
2024-10-01T10:37, user191, view
2024-10-01T10:40, user129, click
2024-10-01T10:44, user172, view
2024-10-01T10:46, user104, click
2024-10-01T10:50, user135, view
2024-10-01T10:51, user157, view
2024-10-01T10:54, user117, view
2024-10-01T10:55, user162, login
2024-10-01T10:58, user124, login
2024-10-01T11:00, user178, view
2024-10-01T11:04, user126, view
2024-10-01T11:09, user140, login
2024-10-01T11:12, user108, login
2024-10-01T11:14, user165, login
2024-10-01T11:15, user132, login
2024-10-01T11:19, user147, login
2024-10-01T11:24, user173, login
2024-10-01T11:26, user138, view
2024-10-01T11:28, user167, login
2024-10-01T11:29, user119, click
2024-10-01T11:30, user173, login
2024-10-01T11:35, user130, view
2024-10-01T11:38, user147, login
2024-10-01T11:43, user172, login
2024-10-01T11:44, user141, click
2024-10-01T11:45, user179, view
2024-10-01T11:49, user130, click
2024-10-01T11:50, user166, logout
2024-10-01T11:54, user166, click
2024-10-01T11:58, user153, logout
2024-10-01T12:02, user129, view
2024-10-01T12:05, user199, login
2024-10-01T12:08, user115, click
2024-10-01T12:13, user175, logout
2024-10-01T12:15, user172, login
2024-10-01T12:19, user103, logout
2024-10-01T12:22, user189, logout
