temperature,pressure,humidity
29,1003,85
16,1027,64
16,981,48
27,1050,41
32,1041,50
31,1014,34
30,996,76
23,986,47
15,996,69
32,1002,54
22,984,61
25,1014,88
21,983,76
33,1049,46
25,1049,42
26,1050,60
30,1047,59
19,996,59
19,1026,90
34,1037,44
30,1015,79
25,1049,70
24,1035,59
24,999,59
23,1005,71
15,1018,69
34,1031,32
29,994,81
18,1014,81
25,1033,88
15,1041,90
15,982,36
25,1028,57
22,998,89
27,1018,41
23,1049,71
29,989,82
17,1020,54
26,1016,86
25,989,40
22,999,63
30,1045,41
21,1041,68
25,980,37
29,990,34
31,1029,61
20,1006,42
23,1021,77
26,1013,55
25,1048,86
29,1017,59
19,1029,38
15,1045,84
32,987,33
17,993,30
32,1033,43
31,1039,56
24,1026,60
33,997,86
16,981,85
21,988,50
32,997,85
15,984,62
35,1030,40
15,1016,47
35,1021,36
26,1010,80
32,985,82
30,1033,49
30,1002,42
32,988,59
17,1032,39
30,993,88
25,1032,39
29,1029,45
31,980,74
21,1021,80
26,998,41
27,1043,69
31,1024,88
32,1036,63
25,1029,60
34,1014,54
23,993,86
29,1047,31
26,1037,31
18,1049,33
30,1014,54
24,992,45
28,1012,81
32,1036,60
19,1030,86
22,1036,81
18,1040,65
34,1002,49
23,1042,34
31,1035,46
16,1001,88
25,982,76
31,981,90
25,992,58
20,1010,34
30,1033,53
17,993,68
30,1020,73
26,1032,30
34,1048,39
30,1043,64
24,1035,48
27,1014,62
25,1031,81
35,1002,77
28,1050,31
34,1035,89
30,1000,59
35,1003,48
19,998,57
32,985,48
29,989,60
17,1011,84
15,992,61
17,992,65
18,993,68
31,1002,33
26,1044,82
32,988,83
21,1018,32
34,995,70
34,984,44
27,1044,47
28,1039,76
15,1047,73
32,989,30
17,1033,82
30,1039,65
28,995,51
30,1012,72
16,1017,41
24,987,44
34,992,73
18,1029,48
31,991,50
27,1028,45
24,1013,43
32,1042,70
22,1019,43
18,1040,79
26,1019,37
29,1026,51
20,1041,30
29,1041,49
35,1014,73
22,999,30
30,1050,47
26,1041,56
17,1001,83
32,1000,64
23,981,80
34,1004,50
29,999,44
23,1005,57
22,1047,64
20,1043,56
25,1003,65
15,1030,64
23,1035,89
21,993,50
27,1027,88
35,991,53
35,990,45
22,1042,43
15,1044,38
35,1001,70
24,1026,62
21,1041,82
18,980,83
24,1021,51
16,983,53
24,1025,44
15,988,60
22,1009,37
16,1046,34
32,1036,87
20,1025,86
35,1019,83
16,1037,72
26,1039,63
24,1029,66
21,993,33
15,1007,43
26,1027,81
21,1028,79
28,994,63
15,1021,60
17,1028,76
22,1039,44
25,1027,32
29,1012,38
30,1021,69
31,1015,42
25,1017,84
16,1023,57
31,1019,35
15,1005,80
15,1002,43
29,993,86
19,981,64
26,1004,77
21,1026,76
34,1011,53
27,991,61
28,1004,72
23,983,57
26,1030,47
25,988,61
16,1029,49
35,1032,40
16,1031,79
23,1010,79
20,1033,86
22,1038,63
30,1044,48
34,1000,71
22,1038,36
32,1002,86
27,1009,59
21,1040,74
30,1042,55
15,1031,74
27,1023,57
31,1029,81
27,987,84
25,1016,77
27,1018,78
30,1019,65
16,1009,80
27,1013,89
24,985,51
26,1041,55
33,1004,89
22,1018,55
15,1014,85
27,981,89
22,995,74
29,1012,38
31,1022,64
27,1015,86
31,995,44
25,1049,42
27,1018,48
30,1041,76
26,1034,71
17,992,36
33,987,47
21,1038,47
22,999,40
30,1011,44
24,1038,35
35,984,32
34,1044,66
24,1031,66
28,1032,53
15,1013,70
21,1045,72
21,1034,90
35,1018,32
17,1007,39
15,983,71
21,1023,50
17,986,63
24,1050,40
25,1028,40
21,983,90
20,1007,87
26,1019,88
34,995,40
33,1034,58
30,987,73
25,1006,48
25,1040,62
21,1048,34
32,1043,41
30,985,75
23,1016,46
35,992,66
31,1001,33
16,1009,54
18,1004,58
24,1044,51
18,1026,45
35,984,75
30,1044,84
21,1002,39
35,1034,41
29,1032,78
15,988,37
29,1049,62
23,1030,88
26,1023,77
29,1014,36
21,1047,65
21,1042,87
19,1020,33
28,1032,33
30,1024,41
34,1001,73
32,1023,89
25,1007,67
32,1013,44
21,1041,52
16,1022,55
16,1014,81
31,1049,81
26,1045,83
24,1027,84
27,1010,36
23,1047,46
18,1016,65
26,1034,38
17,994,45
22,1011,53
32,1011,50
22,1001,44
15,983,34
28,1050,69
20,1046,54
15,1010,61
26,1023,67
28,1022,55
22,1041,88
29,990,82
17,1011,67
20,1027,39
29,1027,58
31,1024,69
25,991,88
21,1020,81
21,1013,64
34,991,81
16,1027,81
27,988,50
31,1002,65
28,1007,65
34,1004,43
17,1041,42
27,1022,79
31,990,80
22,986,66
24,1035,72
25,1025,33
29,1036,33
26,1050,39
21,989,67
21,980,32
16,987,81
33,1022,61
34,1012,55
35,1044,81
18,1027,85
24,1044,36
24,1024,89
26,1020,43
28,1039,81
33,1049,31
26,1043,41
31,982,37
25,1028,31
34,985,39
23,1000,82
24,1014,57
23,995,45
17,1039,80
35,1004,87
25,1005,69
34,1012,42
19,1003,57
23,987,68
16,1021,47
35,1007,60
27,1031,66
15,1029,32
20,995,74
16,1006,37
28,994,60
20,999,67
29,1021,70
32,1013,49
17,1039,66
27,1039,52
29,1017,45
24,1046,56
27,1035,82
16,1020,66
29,1043,75
28,985,56
27,996,60
19,1000,58
22,1043,60
30,1040,90
22,1039,65
28,1043,88
28,1016,86
33,1048,30
25,997,44
26,1013,55
35,998,51
27,1031,41
24,1021,78
24,996,44
35,989,76
15,1027,63
15,1014,90
23,983,78
29,997,51
22,1018,88
29,993,35
17,1025,53
27,1002,86
18,1018,68
19,1015,36
22,1004,83
32,1023,53
28,1010,88
32,1043,52
22,1017,84
15,998,70
29,994,76
29,999,42
29,982,32
22,1030,51
21,1025,41
26,996,68
30,1026,49
17,1050,39
19,999,57
18,1050,62
19,1009,73
18,1021,88
28,1019,30
20,1013,54
19,988,69
28,994,90
32,1029,37
21,1046,59
24,1017,89
16,1002,58
24,1011,73
15,995,41
20,993,52
16,996,53
19,1031,35
23,988,82
21,998,81
23,1006,82
33,1040,30
29,995,52
27,1027,55
24,1040,36
29,1025,54
23,1029,53
27,1017,46
16,1018,69
31,1011,78
33,1033,49
25,1010,88
18,1042,72
21,1026,88
24,990,76
23,1012,67
17,1029,49
29,984,70
17,1003,60
24,1035,87
30,1037,69
26,1045,64
34,1017,56
27,986,50
19,1033,60
34,1041,56
23,1030,77
24,998,49
21,1017,31
30,1019,44
30,1006,74
22,1047,36
34,1048,32
17,1032,73
25,1004,89
30,1003,60
30,1019,31
23,1006,49
19,1005,38
17,1008,78
27,1006,87
30,1027,72
26,1033,84
24,989,31
26,1041,88
20,994,40
15,1014,31
29,1044,32
16,990,75
22,1044,64
20,1040,88
16,1013,87
18,1046,36
21,1004,79
17,1030,67
24,998,89
31,1007,36
35,1004,34
23,1028,83
23,983,33
29,1045,49
19,980,70
21,999,67
26,1005,71
20,1050,67
34,1005,69
32,1036,67
18,1050,61
35,989,35
31,1009,43
31,1019,35
23,1030,80
25,1022,47
26,990,40
24,993,81
25,1029,67
29,1019,86
23,995,63
29,1006,76
23,990,69
17,1024,48
17,1024,84
20,993,69
32,1031,31
15,1019,85
18,1045,64
22,981,72
20,988,75
17,1009,42
31,998,41
28,1043,71
20,1050,76
34,1030,53
20,1027,37
24,1020,79
19,1038,52
31,992,70
17,984,80
32,988,82
28,1011,71
19,1037,68
23,1020,90
19,1024,53
19,1044,46
23,993,45
19,1039,87
31,1010,61
26,1001,74
30,1017,70
21,985,71
27,999,49
26,1039,78
18,1040,53
34,988,46
30,998,67
34,1019,88
23,999,44
27,1009,43
23,984,31
26,1038,82
17,1044,64
15,1007,77
23,1009,84
20,1026,42
15,1020,63
32,1024,49
16,1008,58
18,1037,43
24,1029,78
23,1020,43
20,1045,87
18,1038,33
29,1002,47
22,986,55
18,1020,83
31,993,62
25,995,73
27,984,40
29,984,44
21,1031,44
31,1019,90
28,988,87
30,1019,78
21,1041,34
33,988,89
25,1044,42
28,988,70
34,1015,61
16,1010,81
18,1007,38
31,991,42
21,1024,48
18,1041,66
